location_id,name,rating,num_reviews,category,subcategory,street1,city,country,postalcode,address_string,tags,luxury_score
3214902,Time Out Market Lisboa,4.3,25050,attraction,"food_drink, landmarks, attractions, classes, activities",Avenida 24 de Julho,Lisbon,Portugal,1200-479,"Avenida 24 de Julho, Lisbon 1200-479 Portugal","['food_drink', 'landmarks', 'attractions', 'classes', 'activities']",45.95
1746966,Inside Lisbon Tours,4.8,11966,attraction,"food_drink, sightseeing_tours, activities",Rua Ivone Silva 6 70ESQ,Lisbon,Portugal,1050-124,"Rua Ivone Silva 6 70ESQ, Lisbon 1050-124 Portugal","['food_drink', 'sightseeing_tours', 'activities']",34.366
195106,Calouste Gulbenkian Museum,4.6,8709,attraction,"shopping, museums, attractions",Avenida de Berna 45A,Lisbon,Portugal,1067-001,"Avenida de Berna 45A, Lisbon 1067-001 Portugal","['shopping', 'museums', 'attractions']",26.509
15518965,EcoMassage Lisbon,4.9,1553,attraction,"wellness_spas, activities",Rua aurea 260,Lisbon,Portugal,1100-062,"Rua aurea 260 Praça Rossio, Lisbon 1100-062 Portugal","['wellness_spas', 'activities']",26.253
10807704,Nosso Tejo,4.8,2734,attraction,"boat_tours_water_sports, outdoor_activities, sightseeing_tours, activities",,Lisbon,Portugal,1100-278,Lisbon 1100-278 Portugal,"['boat_tours_water_sports', 'outdoor_activities', 'sightseeing_tours', 'activities']",26.134
10113758,Discover Lisbon,4.8,5445,attraction,"nightlife, sightseeing_tours, activities",,Lisbon,Portugal,1100,Lisbon 1100 Portugal,"['nightlife', 'sightseeing_tours', 'activities']",25.845
4289715,Lisbon by Boat,4.9,2033,attraction,"boat_tours_water_sports, outdoor_activities, sightseeing_tours, activities","Padrao dos Descobrimentos , Doca de Belem",Lisbon,Portugal,1300-000,"Padrao dos Descobrimentos , Doca de Belem, Lisbon 1300-000 Portugal","['boat_tours_water_sports', 'outdoor_activities', 'sightseeing_tours', 'activities']",25.733
8460163,ColourTrip Lisbon,5.0,2983,attraction,"sightseeing_tours, activities, outdoor_activities",,Lisbon,Portugal,,Lisbon Portugal,"['sightseeing_tours', 'activities', 'outdoor_activities']",24.983
3203667,Around Lisbon,4.8,1546,attraction,"boat_tours_water_sports, outdoor_activities, sightseeing_tours, activities",,Lisbon,Portugal,,Lisbon Portugal,"['boat_tours_water_sports', 'outdoor_activities', 'sightseeing_tours', 'activities']",24.945999999999998
7374624,Culinary Backstreets Lisbon,5.0,1727,attraction,"food_drink, sightseeing_tours, activities",,Lisbon,Portugal,,Lisbon Portugal,"['food_drink', 'sightseeing_tours', 'activities']",24.727
2169079,Lisbon by Segway,4.9,1538,attraction,"food_drink, sightseeing_tours, activities",Rua dos Douradores 16,Lisbon,Portugal,1100-206,"Rua dos Douradores 16, Lisbon 1100-206 Portugal","['food_drink', 'sightseeing_tours', 'activities']",24.238
1775700,We Hate Tourism Tours,4.8,1817,attraction,"food_drink, sightseeing_tours, activities",,Lisbon,Portugal,1300-501,Lisbon 1300-501 Portugal,"['food_drink', 'sightseeing_tours', 'activities']",24.217
10686020,Eco Tuk Tuk Lisbon,5.0,2152,attraction,"sightseeing_tours, activities, outdoor_activities",Tv. do Carvalho 25,Lisbon,Portugal,1200-058,"Tv. do Carvalho 25, Lisbon 1200-058 Portugal","['sightseeing_tours', 'activities', 'outdoor_activities']",24.152
3954222,Halcyon I - Historical Lisbon Boat Tours,4.9,281,attraction,"boat_tours_water_sports, outdoor_activities, sightseeing_tours, activities",Doca de Alcantara Norte 701,Lisbon,Portugal,1350-352,"Doca de Alcantara Norte 701, Lisbon 1350-352 Portugal","['boat_tours_water_sports', 'outdoor_activities', 'sightseeing_tours', 'activities']",23.981
8078675,My Lisbon Tours,4.9,716,attraction,"food_drink, sightseeing_tours, activities",Avenida Oscar Monteiro Torres,Lisbon,Portugal,1000-220,"Avenida Oscar Monteiro Torres, Lisbon 1000-220 Portugal","['food_drink', 'sightseeing_tours', 'activities']",23.416
2353620,Miradouro Sao Pedro de Alcantara,4.5,3629,attraction,"landmarks, attractions, sightseeing_tours, activities",Rua De Sao Pedro De Alcantara,Lisbon,Portugal,1200-470,"Rua De Sao Pedro De Alcantara Jardim Dos Namorados, Lisbon 1200-470 Portugal","['landmarks', 'attractions', 'sightseeing_tours', 'activities']",23.129
6628842,Bikes & Company,4.9,1422,attraction,"sightseeing_tours, activities, outdoor_activities",Rua dos Douradores 16,Lisbon,Portugal,1100-206,"Rua dos Douradores 16, Lisbon 1100-206 Portugal","['sightseeing_tours', 'activities', 'outdoor_activities']",23.122
1823200,Lisbon Bike Tour,4.9,785,attraction,"sightseeing_tours, activities, outdoor_activities",Alameda Cardeal Cerejeira,Lisbon,Portugal,1070-044,"Alameda Cardeal Cerejeira, Lisbon 1070-044 Portugal","['sightseeing_tours', 'activities', 'outdoor_activities']",22.485
12258331,Cycling Lisbon,5.0,165,attraction,"sightseeing_tours, activities, outdoor_activities",Alto do Parque Alameda Cardeal Cerejeira,Lisbon,Portugal,1070-044,"Alto do Parque Alameda Cardeal Cerejeira Park Metro Station, Lisbon 1070-044 Portugal","['sightseeing_tours', 'activities', 'outdoor_activities']",22.165
195776,National Tile Museum,4.5,4597,attraction,"museums, attractions",Rua Madre de Deus 4,Lisbon,Portugal,1900-312,"Rua Madre de Deus 4, Lisbon 1900-312 Portugal","['museums', 'attractions']",22.097
12920370,Lisbon with Pats,5.0,167,attraction,"sightseeing_tours, activities",,Lisbon,Portugal,,Lisbon Portugal,"['sightseeing_tours', 'activities']",21.167
4187481,Lisbon4Smile Tourist Guides -Tours,5.0,63,attraction,"sightseeing_tours, activities",Largo do Carmo 18,Lisbon,Portugal,1200-092,"Largo do Carmo 18, Lisbon 1200-092 Portugal","['sightseeing_tours', 'activities']",21.063000000000002
2043527,Lisbon Walker,4.8,409,attraction,"sightseeing_tours, activities",Rua do Jardim do Tabaco 126 Slj,Lisbon,Portugal,1100-288,"Rua do Jardim do Tabaco 126 Slj, Lisbon 1100-288 Portugal","['sightseeing_tours', 'activities']",20.808999999999997
7697318,Tuk-Tuk Fun Tours,4.8,382,attraction,"sightseeing_tours, activities",,Lisbon,Portugal,,Lisbon Portugal,"['sightseeing_tours', 'activities']",20.781999999999996
1996418,Museu Arqueologico do Carmo,4.4,2968,attraction,"museums, attractions",Largo do Carmo,Lisbon,Portugal,1200-092,"Largo do Carmo, Lisbon 1200-092 Portugal","['museums', 'attractions']",20.168
195736,Museu Nacional De Arte Antiga,4.5,1329,attraction,"museums, attractions",Rua das Janelas Verdes,Lisbon,Portugal,1249-017,"Rua das Janelas Verdes, Lisbon 1249-017 Portugal","['museums', 'attractions']",18.829
23957745,Quake - Museu do Terramoto de Lisboa,4.6,939,attraction,"landmarks, attractions, museums","Rua Cais da Alfandega Velha, 39",Lisbon,Portugal,1300-598,"Rua Cais da Alfandega Velha, 39, Lisbon 1300-598 Portugal","['landmarks', 'attractions', 'museums']",18.738999999999997
2229331,Pavilhao do Conhecimento,4.5,958,attraction,"museums, attractions",Largo Jose Mariano Gago N0 1,Lisbon,Portugal,1990-073,"Largo Jose Mariano Gago N0 1, Lisbon 1990-073 Portugal","['museums', 'attractions']",18.458
1973832,Museu Medeiros E Almeida,4.7,252,attraction,"museums, attractions",Rua Rosa Araujo 41,Lisbon,Portugal,1250-194,"Rua Rosa Araujo 41, Lisbon 1250-194 Portugal","['museums', 'attractions']",18.352000000000004
24153846,Royal Treasure Museum,4.7,251,attraction,"landmarks, attractions, museums",Calcada da Ajuda,Lisbon,Portugal,1300-012,"Calcada da Ajuda Ajuda National Palace, Lisbon 1300-012 Portugal","['landmarks', 'attractions', 'museums']",18.351
2412618,Rua dos Correeiros Archaeological Nucleus,4.6,150,attraction,"landmarks, attractions, museums",Rua dos Correeiros 15 23,Lisbon,Portugal,1100-161,"Rua dos Correeiros 15 23, Lisbon 1100-161 Portugal","['landmarks', 'attractions', 'museums']",17.95
3928986,Lisboa Story Centre,4.2,932,attraction,"museums, attractions","Terreiro do Paco, 78- 81",Lisbon,Portugal,1100-148,"Terreiro do Paco, 78- 81, Lisbon 1100-148 Portugal","['museums', 'attractions']",17.532000000000004
12875410,National Museum of Natural History and Science,3.5,398,attraction,"museums, attractions",Rua da Escola Politecnica 56 58,Lisbon,Portugal,1250-102,"Rua da Escola Politecnica 56 58, Lisbon 1250-102 Portugal","['museums', 'attractions']",14.898
2021248,City Sightseeing Lisbon,2.3,1355,attraction,"sightseeing_tours, activities",,Lisbon,Portugal,,Lisbon Portugal,"['sightseeing_tours', 'activities']",14.254999999999999
6124558,Lisbon Hop-on Hop-off Sightseeing Tours,2.2,1288,attraction,"sightseeing_tours, activities",,Lisbon,Portugal,1070-051,Lisbon 1070-051 Portugal,"['sightseeing_tours', 'activities']",13.888000000000002
